feature,mean_importance
Health Service Area,0.0
Payment Typology 2,0.0
Payment Typology 1,0.0
APR Risk of Mortality,0.0
APR Severity of Illness Description,0.0
APR Severity of Illness Code,0.0
APR MDC Description,0.0
APR MDC Code,0.0
APR DRG Description,0.0
Abortion Edit Indicator,0.0
Total Charges,0.0
CCS Diagnosis Description,0.0
Payment Typology 3,0.0
CCS Diagnosis Code,0.0
Emergency Department Indicator,0.0
Length of Stay,0.0
Ethnicity,0.0
Race,0.0
Gender,0.0
Zip Code - 3 digits,0.0
Age Group,0.0
Facility Name,0.0
Facility Id,0.0
Operating Certificate Number,0.0
Hospital County,0.0
Patient Disposition,0.0
Birth Weight,0.0
CCS Procedure Description,0.048964500449853475
Total Costs,0.10851303094672216
Type of Admission,0.1906947614272109
APR DRG Code,0.23925090621141734
CCS Procedure Code,0.5657394259208484
